100   ! Number of radial points 
!                                                                                                                                                                                                               1  
!   r(cm)          n(H2)[cm-3]    Tk(K)          delv[km/s]     Vexp[km/s]     Tdust(K)       gas:dust                 x(He)             x(e-)             x(H)              x(H+)           SO
    0.71045E+16    0.11313E+06    0.74176E+02    0.10000E+01    0.18500E+02    0.17401E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.77017E+16    0.96269E+05    0.70670E+02    0.10000E+01    0.18500E+02    0.16848E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.83490E+16    0.81919E+05    0.67329E+02    0.10000E+01    0.18500E+02    0.16313E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.90508E+16    0.69708E+05    0.64147E+02    0.10000E+01    0.18500E+02    0.15795E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.98116E+16    0.59317E+05    0.61114E+02    0.10000E+01    0.18500E+02    0.15293E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.10636E+17    0.50475E+05    0.58225E+02    0.10000E+01    0.18500E+02    0.14807E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.11530E+17    0.42951E+05    0.55473E+02    0.10000E+01    0.18500E+02    0.14337E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.12500E+17    0.36549E+05    0.52851E+02    0.10000E+01    0.18500E+02    0.13881E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.13550E+17    0.31101E+05    0.50352E+02    0.10000E+01    0.18500E+02    0.13440E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.14689E+17    0.26465E+05    0.47972E+02    0.10000E+01    0.18500E+02    0.13013E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.15924E+17    0.22520E+05    0.45704E+02    0.10000E+01    0.18500E+02    0.12600E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.17262E+17    0.19163E+05    0.43544E+02    0.10000E+01    0.18500E+02    0.12200E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.18713E+17    0.16306E+05    0.41486E+02    0.10000E+01    0.18500E+02    0.11812E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.20286E+17    0.13876E+05    0.39524E+02    0.10000E+01    0.18500E+02    0.11437E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.21991E+17    0.11807E+05    0.37656E+02    0.10000E+01    0.18500E+02    0.11074E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.23840E+17    0.10047E+05    0.35876E+02    0.10000E+01    0.18500E+02    0.10722E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.25844E+17    0.85496E+04    0.34180E+02    0.10000E+01    0.18500E+02    0.10381E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.28016E+17    0.72752E+04    0.32564E+02    0.10000E+01    0.18500E+02    0.10051E+03    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.30371E+17    0.61907E+04    0.31025E+02    0.10000E+01    0.18500E+02    0.97320E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.32924E+17    0.52679E+04    0.29558E+02    0.10000E+01    0.18500E+02    0.94229E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.35691E+17    0.44827E+04    0.28161E+02    0.10000E+01    0.18500E+02    0.91235E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.38691E+17    0.38145E+04    0.26830E+02    0.10000E+01    0.18500E+02    0.88337E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.41943E+17    0.32459E+04    0.25562E+02    0.10000E+01    0.18500E+02    0.85531E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.45469E+17    0.27620E+04    0.24353E+02    0.10000E+01    0.18500E+02    0.82813E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.49291E+17    0.23503E+04    0.23202E+02    0.10000E+01    0.18500E+02    0.80183E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.53434E+17    0.20000E+04    0.22105E+02    0.10000E+01    0.18500E+02    0.77635E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.57925E+17    0.17018E+04    0.21060E+02    0.10000E+01    0.18500E+02    0.75169E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.62794E+17    0.14482E+04    0.20065E+02    0.10000E+01    0.18500E+02    0.72781E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.68072E+17    0.12323E+04    0.19116E+02    0.10000E+01    0.18500E+02    0.70469E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
    0.73794E+17    0.10486E+04    0.18213E+02    0.10000E+01    0.18500E+02    0.68230E+02    0.43478E+03              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-19
